"attackermoveset";"attackername";"attackerfastmove";"attackerspecialmove";"defendermoveset";"defendername";"defenderfastmove";"defenderspecialmove";"attackerattackmodifier";"attackerdefensemodifier";"attackeradvantage"
471;Magneton;Thunder Shock;Magnet Bomb;834;Dragonite;Steel Wing;Dragon Pulse;1,25;1,38888884;1,73611104
467;Magneton;Spark;Discharge;834;Dragonite;Steel Wing;Dragon Pulse;1,25;1,38888884;1,73611104
472;Magneton;Thunder Shock;Flash Cannon;834;Dragonite;Steel Wing;Dragon Pulse;1,25;1,38888884;1,73611104
470;Magneton;Thunder Shock;Discharge;834;Dragonite;Steel Wing;Dragon Pulse;1,25;1,38888884;1,73611104
469;Magneton;Spark;Flash Cannon;834;Dragonite;Steel Wing;Dragon Pulse;1,25;1,38888884;1,73611104
468;Magneton;Spark;Magnet Bomb;834;Dragonite;Steel Wing;Dragon Pulse;1,25;1,38888884;1,73611104
752;Lapras;Frost Breath;Dragon Pulse;834;Dragonite;Steel Wing;Dragon Pulse;1,6015625;1;1,6015625
755;Lapras;Ice Shard;Dragon Pulse;834;Dragonite;Steel Wing;Dragon Pulse;1,6015625;1;1,6015625
756;Lapras;Ice Shard;Ice Beam;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
499;Dewgong;Frost Breath;Blizzard;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
754;Lapras;Frost Breath;Blizzard;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
757;Lapras;Ice Shard;Blizzard;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
497;Dewgong;Frost Breath;Icy Wind;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
523;Cloyster;Frost Breath;Blizzard;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
716;Jynx;Frost Breath;Ice Punch;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
526;Cloyster;Ice Shard;Blizzard;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
521;Cloyster;Frost Breath;Icy Wind;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
524;Cloyster;Ice Shard;Icy Wind;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
753;Lapras;Frost Breath;Ice Beam;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
500;Dewgong;Ice Shard;Icy Wind;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
502;Dewgong;Ice Shard;Blizzard;833;Dragonite;Dragon Breath;Dragon Claw;1,953125;1;1,953125
218;Wigglytuff;Pound;Dazzling Gleam;833;Dragonite;Dragon Breath;Dragon Claw;1,40625;1,25;1,7578125
220;Wigglytuff;Pound;Play Rough;833;Dragonite;Dragon Breath;Dragon Claw;1,40625;1,25;1,7578125
755;Lapras;Ice Shard;Dragon Pulse;833;Dragonite;Dragon Breath;Dragon Claw;1,6015625;1;1,6015625
196;Clefable;Pound;Moonblast;833;Dragonite;Dragon Breath;Dragon Claw;1,28125;1,25;1,6015625
717;Jynx;Frost Breath;Psyshock;833;Dragonite;Dragon Breath;Dragon Claw;1,6015625;1;1,6015625
223;Wigglytuff;Feint Attack;Play Rough;833;Dragonite;Dragon Breath;Dragon Claw;1,28125;1,25;1,6015625
199;Clefable;Zen Headbutt;Moonblast;833;Dragonite;Dragon Breath;Dragon Claw;1,28125;1,25;1,6015625
752;Lapras;Frost Breath;Dragon Pulse;833;Dragonite;Dragon Breath;Dragon Claw;1,6015625;1;1,6015625
715;Jynx;Frost Breath;Draining Kiss;833;Dragonite;Dragon Breath;Dragon Claw;1,6015625;1;1,6015625
221;Wigglytuff;Feint Attack;Dazzling Gleam;833;Dragonite;Dragon Breath;Dragon Claw;1,28125;1,25;1,6015625
197;Clefable;Zen Headbutt;Dazzling Gleam;833;Dragonite;Dragon Breath;Dragon Claw;1,28125;1,25;1,6015625
194;Clefable;Pound;Dazzling Gleam;833;Dragonite;Dragon Breath;Dragon Claw;1,28125;1,25;1,6015625
716;Jynx;Frost Breath;Ice Punch;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
753;Lapras;Frost Breath;Ice Beam;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
500;Dewgong;Ice Shard;Icy Wind;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
754;Lapras;Frost Breath;Blizzard;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
523;Cloyster;Frost Breath;Blizzard;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
524;Cloyster;Ice Shard;Icy Wind;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
757;Lapras;Ice Shard;Blizzard;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
756;Lapras;Ice Shard;Ice Beam;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
521;Cloyster;Frost Breath;Icy Wind;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
499;Dewgong;Frost Breath;Blizzard;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
502;Dewgong;Ice Shard;Blizzard;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
497;Dewgong;Frost Breath;Icy Wind;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
526;Cloyster;Ice Shard;Blizzard;832;Dragonite;Dragon Breath;Hyper Beam;1,953125;1;1,953125
432;Golem;Rock Throw;Ancient Power;832;Dragonite;Dragon Breath;Hyper Beam;1,5625;1,11111104;1,73611104
431;Golem;Rock Throw;Stone Edge;832;Dragonite;Dragon Breath;Hyper Beam;1,5625;1,11111104;1,73611104
545;Onix;Rock Throw;Rock Slide;832;Dragonite;Dragon Breath;Hyper Beam;1,5625;1,11111104;1,73611104
546;Onix;Rock Throw;Stone Edge;832;Dragonite;Dragon Breath;Hyper Beam;1,5625;1,11111104;1,73611104
788;Omastar;Rock Throw;Rock Slide;832;Dragonite;Dragon Breath;Hyper Beam;1,5625;1,11111104;1,73611104
786;Omastar;Rock Throw;Ancient Power;832;Dragonite;Dragon Breath;Hyper Beam;1,5625;1,11111104;1,73611104
752;Lapras;Frost Breath;Dragon Pulse;832;Dragonite;Dragon Breath;Hyper Beam;1,6015625;1;1,6015625
715;Jynx;Frost Breath;Draining Kiss;832;Dragonite;Dragon Breath;Hyper Beam;1,6015625;1;1,6015625
717;Jynx;Frost Breath;Psyshock;832;Dragonite;Dragon Breath;Hyper Beam;1,6015625;1;1,6015625
755;Lapras;Ice Shard;Dragon Pulse;832;Dragonite;Dragon Breath;Hyper Beam;1,6015625;1;1,6015625
497;Dewgong;Frost Breath;Icy Wind;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
524;Cloyster;Ice Shard;Icy Wind;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
526;Cloyster;Ice Shard;Blizzard;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
753;Lapras;Frost Breath;Ice Beam;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
757;Lapras;Ice Shard;Blizzard;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
502;Dewgong;Ice Shard;Blizzard;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
716;Jynx;Frost Breath;Ice Punch;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
521;Cloyster;Frost Breath;Icy Wind;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
756;Lapras;Ice Shard;Ice Beam;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
499;Dewgong;Frost Breath;Blizzard;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
754;Lapras;Frost Breath;Blizzard;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
523;Cloyster;Frost Breath;Blizzard;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
500;Dewgong;Ice Shard;Icy Wind;831;Dragonite;Dragon Breath;Dragon Pulse;1,953125;1;1,953125
218;Wigglytuff;Pound;Dazzling Gleam;831;Dragonite;Dragon Breath;Dragon Pulse;1,40625;1,25;1,7578125
220;Wigglytuff;Pound;Play Rough;831;Dragonite;Dragon Breath;Dragon Pulse;1,40625;1,25;1,7578125
755;Lapras;Ice Shard;Dragon Pulse;831;Dragonite;Dragon Breath;Dragon Pulse;1,6015625;1;1,6015625
715;Jynx;Frost Breath;Draining Kiss;831;Dragonite;Dragon Breath;Dragon Pulse;1,6015625;1;1,6015625
223;Wigglytuff;Feint Attack;Play Rough;831;Dragonite;Dragon Breath;Dragon Pulse;1,28125;1,25;1,6015625
194;Clefable;Pound;Dazzling Gleam;831;Dragonite;Dragon Breath;Dragon Pulse;1,28125;1,25;1,6015625
197;Clefable;Zen Headbutt;Dazzling Gleam;831;Dragonite;Dragon Breath;Dragon Pulse;1,28125;1,25;1,6015625
221;Wigglytuff;Feint Attack;Dazzling Gleam;831;Dragonite;Dragon Breath;Dragon Pulse;1,28125;1,25;1,6015625
196;Clefable;Pound;Moonblast;831;Dragonite;Dragon Breath;Dragon Pulse;1,28125;1,25;1,6015625
752;Lapras;Frost Breath;Dragon Pulse;831;Dragonite;Dragon Breath;Dragon Pulse;1,6015625;1;1,6015625
717;Jynx;Frost Breath;Psyshock;831;Dragonite;Dragon Breath;Dragon Pulse;1,6015625;1;1,6015625
199;Clefable;Zen Headbutt;Moonblast;831;Dragonite;Dragon Breath;Dragon Pulse;1,28125;1,25;1,6015625
432;Golem;Rock Throw;Ancient Power;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
469;Magneton;Spark;Flash Cannon;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
350;Poliwrath;Bubble;Hydro Pump;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
789;Omastar;Water Gun;Ancient Power;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
786;Omastar;Rock Throw;Ancient Power;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
467;Magneton;Spark;Discharge;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
546;Onix;Rock Throw;Stone Edge;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
431;Golem;Rock Throw;Stone Edge;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
472;Magneton;Thunder Shock;Flash Cannon;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
545;Onix;Rock Throw;Rock Slide;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
788;Omastar;Rock Throw;Rock Slide;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
471;Magneton;Thunder Shock;Magnet Bomb;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
787;Omastar;Rock Throw;Hydro Pump;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
790;Omastar;Water Gun;Hydro Pump;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
791;Omastar;Water Gun;Rock Slide;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
468;Magneton;Spark;Magnet Bomb;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
470;Magneton;Thunder Shock;Discharge;809;Aerodactyl;Bite;Hyper Beam;1,5625;1,11111104;1,73611104
350;Poliwrath;Bubble;Hydro Pump;808;Aerodactyl;Bite;Iron Head;1,5625;1,25;1,953125
469;Magneton;Spark;Flash Cannon;808;Aerodactyl;Bite;Iron Head;1,5625;1,21951222;1,90548778
471;Magneton;Thunder Shock;Magnet Bomb;808;Aerodactyl;Bite;Iron Head;1,5625;1,21951222;1,90548778
468;Magneton;Spark;Magnet Bomb;808;Aerodactyl;Bite;Iron Head;1,5625;1,21951222;1,90548778
470;Magneton;Thunder Shock;Discharge;808;Aerodactyl;Bite;Iron Head;1,5625;1,21951222;1,90548778
467;Magneton;Spark;Discharge;808;Aerodactyl;Bite;Iron Head;1,5625;1,21951222;1,90548778
472;Magneton;Thunder Shock;Flash Cannon;808;Aerodactyl;Bite;Iron Head;1,5625;1,21951222;1,90548778
352;Poliwrath;Bubble;Ice Punch;808;Aerodactyl;Bite;Iron Head;1,40625;1,25;1,7578125
351;Poliwrath;Bubble;Submission;808;Aerodactyl;Bite;Iron Head;1,40625;1,25;1,7578125
721;Electabuzz;Thunder Shock;Thunder Punch;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
769;Jolteon;Thunder Shock;Thunderbolt;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
675;Seadra;Water Gun;Hydro Pump;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
722;Electabuzz;Thunder Shock;Thunderbolt;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
581;Electrode;Spark;Discharge;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
139;Raichu;Spark;Thunder;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
770;Jolteon;Thunder Shock;Thunder;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
767;Vaporeon;Water Gun;Aqua Tail;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
136;Raichu;Thunder Shock;Thunder;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
765;Vaporeon;Water Gun;Water Pulse;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
50;Blastoise;Water Gun;Hydro Pump;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
138;Raichu;Spark;Thunder Punch;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
768;Jolteon;Thunder Shock;Discharge;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
723;Electabuzz;Thunder Shock;Thunder;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
135;Raichu;Thunder Shock;Thunder Punch;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
583;Electrode;Spark;Hyper Beam;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
309;Golduck;Water Gun;Hydro Pump;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
582;Electrode;Spark;Thunderbolt;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
766;Vaporeon;Water Gun;Hydro Pump;808;Aerodactyl;Bite;Iron Head;1,5625;1,11111104;1,73611104
353;Poliwrath;Mud Shot;Hydro Pump;808;Aerodactyl;Bite;Iron Head;1,28125;1,25;1,6015625
350;Poliwrath;Bubble;Hydro Pump;807;Aerodactyl;Bite;Ancient Power;1,5625;1,25;1,953125
352;Poliwrath;Bubble;Ice Punch;807;Aerodactyl;Bite;Ancient Power;1,40625;1,25;1,7578125
351;Poliwrath;Bubble;Submission;807;Aerodactyl;Bite;Ancient Power;1,40625;1,25;1,7578125
469;Magneton;Spark;Flash Cannon;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
545;Onix;Rock Throw;Rock Slide;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
432;Golem;Rock Throw;Ancient Power;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
468;Magneton;Spark;Magnet Bomb;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
470;Magneton;Thunder Shock;Discharge;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
467;Magneton;Spark;Discharge;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
431;Golem;Rock Throw;Stone Edge;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
546;Onix;Rock Throw;Stone Edge;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
472;Magneton;Thunder Shock;Flash Cannon;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
471;Magneton;Thunder Shock;Magnet Bomb;807;Aerodactyl;Bite;Ancient Power;1,5625;1,11111104;1,73611104
353;Poliwrath;Mud Shot;Hydro Pump;807;Aerodactyl;Bite;Ancient Power;1,28125;1,25;1,6015625
469;Magneton;Spark;Flash Cannon;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,38888884;2,17013884
471;Magneton;Thunder Shock;Magnet Bomb;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,38888884;2,17013884
468;Magneton;Spark;Magnet Bomb;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,38888884;2,17013884
467;Magneton;Spark;Discharge;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,38888884;2,17013884
470;Magneton;Thunder Shock;Discharge;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,38888884;2,17013884
472;Magneton;Thunder Shock;Flash Cannon;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,38888884;2,17013884
50;Blastoise;Water Gun;Hydro Pump;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
765;Vaporeon;Water Gun;Water Pulse;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
722;Electabuzz;Thunder Shock;Thunderbolt;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
768;Jolteon;Thunder Shock;Discharge;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
582;Electrode;Spark;Thunderbolt;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
583;Electrode;Spark;Hyper Beam;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
309;Golduck;Water Gun;Hydro Pump;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
769;Jolteon;Thunder Shock;Thunderbolt;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
787;Omastar;Rock Throw;Hydro Pump;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
790;Omastar;Water Gun;Hydro Pump;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
788;Omastar;Rock Throw;Rock Slide;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
700;Starmie;Water Gun;Hydro Pump;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
139;Raichu;Spark;Thunder;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
770;Jolteon;Thunder Shock;Thunder;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
138;Raichu;Spark;Thunder Punch;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
767;Vaporeon;Water Gun;Aqua Tail;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
136;Raichu;Thunder Shock;Thunder;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
789;Omastar;Water Gun;Ancient Power;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
675;Seadra;Water Gun;Hydro Pump;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
723;Electabuzz;Thunder Shock;Thunder;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
786;Omastar;Rock Throw;Ancient Power;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
581;Electrode;Spark;Discharge;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
721;Electabuzz;Thunder Shock;Thunder Punch;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
350;Poliwrath;Bubble;Hydro Pump;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
766;Vaporeon;Water Gun;Hydro Pump;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
135;Raichu;Thunder Shock;Thunder Punch;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
791;Omastar;Water Gun;Rock Slide;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
455;Slowbro;Water Gun;Water Pulse;806;Aerodactyl;Steel Wing;Hyper Beam;1,5625;1,11111104;1,73611104
467;Magneton;Spark;Discharge;805;Aerodactyl;Steel Wing;Iron Head;1,5625;1,5625;2,44140625
